08/05/2020 17:09:31 ; Anadolu Cam 2012 File Review maili gönderildi. İlgili kişiler mail log dosyasında ; Başarılı
08/05/2020 17:09:31 ; Çalışma başarıyla sona erdi ; Başarılı
08/05/2020 17:20:19 ; Browser açıldı ; Başarılı
08/05/2020 17:20:19 ; Siteye erişildi ; Başarılı
08/05/2020 17:20:28 ; Tablo çekildi ; Başarılı
08/05/2020 17:20:28 ; Tablo çekilemedi ; Başarısız
08/05/2020 17:20:29 ; CC Playground maili gönderildi. İlgili kişiler mail log dosyasında ; Başarılı
08/05/2020 17:20:30 ; Çalışma başarıyla sona erdi ; Başarılı
08/05/2020 17:21:10 ; Browser açıldı ; Başarılı
08/05/2020 17:21:10 ; Siteye erişildi ; Başarılı
08/05/2020 17:21:19 ; Tablo çekildi ; Başarılı
08/05/2020 17:21:20 ; CC Playground maili gönderildi. İlgili kişiler mail log dosyasında ; Başarılı
08/05/2020 17:21:20 ; Çalışma başarıyla sona erdi ; Başarılı
